epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,635.548,1.18913,2.39435,1.72999,1.10109,0,0.57711,0.28509,0.26333,0.17607,0.55422,0.26588,0.23655,0.14362,1.07103,2.2777,1.33078,1.03579,0,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,1072.07,1.18802,2.31957,1.50907,1.07151,0,0.5949,0.26615,0.28176,0.18583,0.56712,0.25045,0.25205,0.15773,1.10918,2.26567,1.29753,1.05379,0,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408
3,1459.41,1.24822,2.40085,1.56384,1.09325,0,0.51457,0.26952,0.2569,0.16932,0.48963,0.25171,0.22996,0.14266,1.14653,2.31916,1.35358,1.07234,0,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342
4,1832.69,1.23643,2.37441,1.53333,1.08679,0,0.47566,0.32747,0.29553,0.20304,0.44979,0.30539,0.26648,0.17006,1.05999,2.19557,1.23424,1.03469,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2205.96,1.16608,2.27474,1.44053,1.05924,0,0.57664,0.31701,0.32636,0.22864,0.53749,0.29953,0.29352,0.18953,1.00789,2.1278,1.16269,1.01934,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2578.95,1.12174,2.19859,1.3903,1.04431,0,0.53669,0.33598,0.33239,0.23305,0.50605,0.31614,0.30588,0.19039,0.9808,2.05699,1.13592,1.00184,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2952.49,1.09537,2.15181,1.35424,1.03402,0,0.49004,0.36136,0.35204,0.24963,0.45548,0.33691,0.32057,0.20319,0.95304,2.0106,1.09193,0.98707,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3320.62,1.07567,2.12047,1.32543,1.02626,0,0.61258,0.35411,0.37012,0.26331,0.57738,0.3298,0.33683,0.21288,0.94623,1.97572,1.06761,0.98528,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3685.41,1.05781,2.09029,1.30075,1.01992,0,0.51151,0.38559,0.37031,0.26393,0.45005,0.36195,0.33748,0.21624,0.92158,1.95093,1.04703,0.97668,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4049.38,1.04421,2.06368,1.27863,1.01488,0,0.48438,0.38806,0.3818,0.27461,0.44886,0.359,0.34661,0.22244,0.91224,1.93214,1.03534,0.97173,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4414.07,1.0321,2.04505,1.26208,1.01032,0,0.47467,0.40546,0.38913,0.27915,0.47499,0.34566,0.35567,0.22716,0.90418,1.8991,1.01669,0.96542,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4779.75,1.02239,2.03153,1.25227,1.00666,0,0.49528,0.40069,0.39572,0.28515,0.45712,0.37494,0.35976,0.23199,0.89145,1.87626,1.00187,0.9622,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5143.83,1.01682,2.0164,1.24404,1.00454,0,0.49728,0.42249,0.40462,0.2927,0.465,0.39481,0.36744,0.23642,0.88367,1.86141,0.98073,0.95878,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5508.25,1.00512,1.9962,1.22362,1.00027,0,0.49867,0.41076,0.4038,0.2904,0.4319,0.38273,0.36334,0.23491,0.88028,1.84809,0.97852,0.95884,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5873.16,0.99907,1.98248,1.21454,0.99874,0,0.51025,0.40468,0.4074,0.29391,0.46797,0.3734,0.36872,0.23827,0.87086,1.83957,0.97449,0.95641,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6237.14,0.99358,1.9773,1.20476,0.99722,0,0.51172,0.41933,0.41105,0.29933,0.48149,0.38368,0.37575,0.24275,0.86737,1.82739,0.96466,0.95614,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6602.79,0.98515,1.9608,1.19489,0.99332,0,0.52083,0.42572,0.41711,0.30165,0.49875,0.3947,0.38291,0.24569,0.86359,1.81936,0.95998,0.95213,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6968.88,0.98457,1.95228,1.18652,0.99295,0,0.53891,0.41936,0.41919,0.30421,0.4833,0.39522,0.38345,0.24816,0.85975,1.81503,0.95243,0.95066,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
