epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,898.468,0.8561,1.87546,1.45578,1.05148,0,0.44816,0.47937,0.42718,0.31662,0.44108,0.46685,0.41267,0.28234,0.83958,1.82386,1.10827,1.02265,0,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,1546.08,0.91731,1.8992,1.31717,1.0643,0,0.64399,0.38852,0.42277,0.30812,0.6313,0.38541,0.40849,0.26728,0.85687,1.85583,1.12629,1.03757,0,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408
3,2133.42,0.98602,2.02717,1.39739,1.10076,0,0.47518,0.42986,0.4008,0.28996,0.4712,0.415,0.38344,0.25192,0.88528,1.89711,1.1386,1.05944,0,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342
4,2703.85,0.97678,1.99829,1.36363,1.09571,0,0.57146,0.44489,0.44804,0.33989,0.56437,0.43674,0.43371,0.29515,0.79707,1.75603,1.03704,1.00858,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3274.34,0.90544,1.86709,1.25277,1.06084,0,0.56984,0.49533,0.50217,0.38413,0.56336,0.48345,0.48309,0.33157,0.75732,1.67042,0.94106,0.99549,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3845,0.86462,1.78902,1.19233,1.04172,0,0.63103,0.50863,0.53057,0.41155,0.62608,0.48629,0.50458,0.35178,0.72454,1.60896,0.90244,0.97528,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4415.4,0.8355,1.73559,1.14332,1.02695,0,0.62959,0.52095,0.55486,0.42991,0.61806,0.50641,0.53535,0.36799,0.70692,1.56714,0.86316,0.9662,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4985.94,0.8147,1.69034,1.11006,1.01686,0,0.64779,0.53898,0.57934,0.45545,0.6296,0.52478,0.55523,0.39213,0.68834,1.53201,0.82805,0.95731,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,5556.51,0.79654,1.65398,1.08194,1.00869,0,0.67621,0.53429,0.58848,0.46591,0.65896,0.52358,0.56519,0.39535,0.66129,1.49592,0.79798,0.94068,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6126.67,0.7835,1.62622,1.05632,1.00257,0,0.62446,0.56418,0.60016,0.4743,0.60576,0.55471,0.57841,0.40468,0.66038,1.46286,0.78598,0.94044,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,6697.26,0.77194,1.6014,1.03753,0.99637,0,0.64932,0.60151,0.62147,0.49718,0.63889,0.58367,0.60135,0.4281,0.64529,1.44906,0.77321,0.93222,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,7268.03,0.76387,1.58052,1.02281,0.9926,0,0.6187,0.59871,0.61355,0.49303,0.60754,0.58061,0.5923,0.42077,0.63238,1.43643,0.75415,0.92957,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,7839.32,0.75442,1.56549,1.00844,0.98754,0,0.62946,0.59577,0.63621,0.51398,0.61737,0.58023,0.61372,0.43821,0.6293,1.42547,0.73791,0.92625,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,8409.92,0.74445,1.54466,0.99026,0.98283,0,0.66126,0.60366,0.64662,0.52349,0.65224,0.58482,0.62231,0.4449,0.62536,1.41052,0.72711,0.92554,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,8980.82,0.73707,1.52932,0.97581,0.97899,0,0.59018,0.6665,0.6595,0.53176,0.57083,0.65193,0.6358,0.45284,0.618,1.40088,0.715,0.9222,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,9551.26,0.72878,1.51394,0.96798,0.97549,0,0.72826,0.58504,0.65302,0.52839,0.71587,0.56724,0.62764,0.4462,0.61201,1.38838,0.70699,0.91883,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,10122.3,0.72433,1.50011,0.95319,0.97324,0,0.5968,0.64654,0.65659,0.5348,0.58814,0.62142,0.63092,0.45284,0.60649,1.37917,0.70117,0.91673,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,10693.1,0.71979,1.48784,0.94333,0.97027,0,0.68352,0.62766,0.66381,0.54119,0.66567,0.61256,0.63897,0.45979,0.60141,1.37309,0.69449,0.91417,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,11263.7,0.71246,1.47221,0.93575,0.96709,0,0.68728,0.61854,0.66611,0.54548,0.67601,0.5987,0.64314,0.46186,0.59714,1.36446,0.69023,0.91207,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,11834.3,0.70478,1.45537,0.92327,0.96335,0,0.68542,0.61732,0.66782,0.54705,0.64663,0.61531,0.64617,0.46395,0.59329,1.35746,0.6865,0.91034,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,12396.5,0.70341,1.44642,0.91874,0.96205,0,0.63033,0.65892,0.6696,0.54857,0.61453,0.63869,0.64686,0.46532,0.59098,1.35552,0.68516,0.90923,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,12946.9,0.69739,1.43934,0.9061,0.95878,0,0.62301,0.67261,0.67326,0.55204,0.6063,0.65716,0.65205,0.47102,0.59008,1.35098,0.68177,0.90819,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,13497.5,0.69284,1.42751,0.89745,0.95731,0,0.6493,0.65727,0.68505,0.5647,0.63425,0.64221,0.66285,0.48177,0.58936,1.34745,0.678,0.90752,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
