epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,472.954,0.93642,2.0666,1.59216,1.06233,0,0.57885,0.36257,0.39315,0.28966,0.56937,0.35522,0.38228,0.25446,0.86951,1.97656,1.16398,0.9803,0,0.0099964,0.00333213,0.0099964,0.00333213,0.0099964,0.00333213,0.0099964,0.00333213
2,831.352,0.96295,2.00848,1.36,1.04665,0,0.52065,0.3925,0.38404,0.27694,0.50986,0.38492,0.36914,0.24261,0.92163,2.02656,1.21199,1.02325,0,0.0196005,0.00653349,0.0196005,0.00653349,0.0196005,0.00653349,0.0196005,0.00653349
3,1155.13,1.02679,2.10294,1.42727,1.07685,0,0.55956,0.37443,0.35911,0.25484,0.56249,0.36285,0.34749,0.22594,0.95652,2.082,1.2282,1.04287,0,0.0288085,0.00960285,0.0288085,0.00960285,0.0288085,0.00960285,0.0288085,0.00960285
4,1464.11,1.01994,2.08846,1.40862,1.07552,0,0.5665,0.43242,0.42943,0.3141,0.55256,0.42069,0.41162,0.27745,0.88866,1.92846,1.11154,1.01568,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1773.26,0.95723,1.96648,1.30262,1.04855,0,0.55695,0.43035,0.45719,0.33923,0.53785,0.41704,0.43741,0.29471,0.84037,1.83476,1.03174,0.98661,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2082.5,0.91932,1.9024,1.24712,1.03114,0,0.56327,0.47166,0.48372,0.36093,0.55171,0.45472,0.4603,0.31248,0.79878,1.77471,0.99111,0.96423,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2391.75,0.89434,1.85999,1.20664,1.01949,0,0.57648,0.4753,0.49954,0.37612,0.55413,0.47087,0.48059,0.32881,0.77742,1.72863,0.95813,0.95735,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2701.59,0.87781,1.82681,1.17593,1.01241,0,0.63561,0.48401,0.5129,0.39094,0.61262,0.46904,0.48995,0.33929,0.75882,1.68604,0.9276,0.94722,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3011.23,0.86139,1.79524,1.14811,1.005,0,0.60452,0.49787,0.5314,0.40569,0.58873,0.48683,0.51279,0.35327,0.74806,1.65974,0.90288,0.93867,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3321.27,0.84753,1.76884,1.12202,0.99823,0,0.6202,0.52497,0.54897,0.4231,0.60912,0.51309,0.53106,0.36874,0.72384,1.62309,0.87146,0.92844,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
