epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,896.72,0.8561,1.87546,1.45578,1.05148,0,0.44816,0.47937,0.42718,0.31662,0.44108,0.46685,0.41267,0.28234,0.83958,1.82386,1.10827,1.02265,0,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,1544.29,0.91731,1.8992,1.31717,1.0643,0,0.64399,0.38852,0.42277,0.30812,0.6313,0.38541,0.40849,0.26728,0.85687,1.85583,1.12629,1.03757,0,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408
3,2131.53,0.98602,2.02717,1.39739,1.10076,0,0.47518,0.42986,0.4008,0.28996,0.4712,0.415,0.38344,0.25192,0.88528,1.89711,1.1386,1.05944,0,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342
