epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,10238.4,0.85868,1.69994,1.02403,0.95582,0,0.52937,0.49882,0.50739,0.38275,0.50949,0.47365,0.46903,0.30693,0.74093,1.60837,0.82411,0.91463,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,10664.7,0.84872,1.69006,1.01437,0.95257,0,0.54043,0.49332,0.50721,0.38264,0.52166,0.4687,0.46892,0.30693,0.739,1.6035,0.82191,0.91418,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,11091.9,0.84405,1.67593,1.00895,0.95139,0,0.54632,0.49588,0.50886,0.38496,0.52193,0.47003,0.47057,0.3081,0.73723,1.59782,0.81926,0.91368,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,11519.1,0.84109,1.66415,0.99953,0.95042,0,0.54698,0.50375,0.51249,0.38601,0.52186,0.47625,0.47188,0.30975,0.73601,1.59531,0.81817,0.91264,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,11946.3,0.83485,1.65062,0.98799,0.94809,0,0.55041,0.50035,0.5126,0.3871,0.52608,0.47633,0.47417,0.31038,0.73453,1.59142,0.81666,0.91203,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,12373.4,0.83178,1.64563,0.98343,0.94641,0,0.55736,0.49665,0.51379,0.38817,0.52756,0.47635,0.47494,0.31153,0.73272,1.58397,0.8146,0.91116,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,12799.6,0.82486,1.63206,0.97764,0.94499,0,0.55655,0.49825,0.51511,0.38974,0.53227,0.47479,0.47559,0.31278,0.7307,1.58002,0.81173,0.91027,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,13225.6,0.82111,1.62888,0.9724,0.94323,0,0.57024,0.49111,0.51533,0.39079,0.54463,0.46788,0.47567,0.31266,0.72894,1.57583,0.8102,0.90959,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,13651.8,0.81798,1.61542,0.96096,0.94229,0,0.58336,0.48145,0.51907,0.39291,0.55525,0.45821,0.47831,0.31478,0.7276,1.57309,0.80774,0.90925,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,14078.9,0.81411,1.60674,0.953,0.93921,0,0.61517,0.47293,0.5214,0.39544,0.57773,0.45054,0.48119,0.31631,0.72612,1.57126,0.80629,0.90864,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,14505.8,0.8084,1.59609,0.94755,0.93883,0,0.67305,0.46812,0.52335,0.3979,0.57971,0.4505,0.48388,0.31813,0.72491,1.56682,0.80437,0.90811,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,14932.7,0.80328,1.58552,0.93814,0.93644,0,0.67388,0.46784,0.52499,0.39923,0.57399,0.45234,0.48523,0.31876,0.72321,1.56392,0.80298,0.9075,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,15359.6,0.79774,1.57033,0.9245,0.93458,0,0.63905,0.46723,0.52712,0.40071,0.59426,0.44693,0.48905,0.32156,0.7213,1.55926,0.80096,0.90682,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15785.7,0.79545,1.56675,0.92379,0.93512,0,0.64775,0.46896,0.528,0.40097,0.59677,0.44908,0.49025,0.3218,0.72023,1.55622,0.79847,0.90682,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,16213.1,0.78759,1.55159,0.91403,0.93102,0,0.63025,0.47467,0.52875,0.40261,0.59112,0.45146,0.49134,0.3218,0.71856,1.55081,0.79681,0.9062,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,16639.5,0.78169,1.54189,0.90761,0.92966,0,0.63071,0.47462,0.52971,0.40429,0.5897,0.44943,0.49238,0.32271,0.71681,1.54675,0.79487,0.90559,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,17066.3,0.77797,1.5355,0.90296,0.92909,0,0.62732,0.47877,0.53034,0.40528,0.58567,0.45421,0.49545,0.32364,0.71544,1.54569,0.79353,0.90505,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,17493.7,0.77621,1.52421,0.89037,0.92659,0,0.62863,0.47988,0.53118,0.40598,0.58349,0.45631,0.49599,0.32392,0.71383,1.54079,0.7916,0.90418,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,17925.9,0.76727,1.54604,0.79061,0.91314,0,0.62623,0.47909,0.53254,0.40734,0.57263,0.46152,0.49781,0.32504,0.71189,1.53785,0.78945,0.90337,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,18356.7,0.75662,1.52132,0.77224,0.90921,0,0.6151,0.48577,0.5328,0.4078,0.57559,0.46157,0.49538,0.32428,0.7106,1.53344,0.7871,0.90267,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,18788.1,0.75234,1.51007,0.76101,0.90623,0,0.61496,0.48847,0.53496,0.41025,0.5751,0.45957,0.49625,0.32471,0.70958,1.52978,0.78553,0.90203,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,19218.3,0.74494,1.49743,0.74622,0.90386,0,0.61085,0.49662,0.53579,0.4115,0.56987,0.4688,0.49801,0.32529,0.70841,1.52828,0.78447,0.90157,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,19648.1,0.7395,1.4781,0.73546,0.90256,0,0.60459,0.49794,0.53756,0.41273,0.57022,0.46891,0.49924,0.32609,0.70769,1.52633,0.78266,0.90142,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,20078.6,0.73073,1.4607,0.71963,0.89896,0,0.60623,0.50267,0.53866,0.41539,0.57678,0.46534,0.50271,0.3277,0.70712,1.52421,0.78082,0.90139,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,20518.1,0.72474,1.45317,0.70393,0.89628,0,0.61146,0.50081,0.5422,0.41747,0.57686,0.47124,0.50494,0.32887,0.70613,1.52031,0.77801,0.90112,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,20959.2,0.71733,1.43308,0.69218,0.89288,0,0.61634,0.5016,0.54328,0.41779,0.58386,0.47062,0.50666,0.33062,0.70559,1.51672,0.77582,0.901,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,21401.1,0.71285,1.41667,0.68142,0.89272,0,0.61801,0.50248,0.5452,0.42082,0.57979,0.48772,0.50962,0.33096,0.70459,1.51536,0.77449,0.90064,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,21842.3,0.70619,1.40703,0.67065,0.88965,0,0.61685,0.5126,0.54938,0.42307,0.57873,0.49459,0.51333,0.33357,0.70406,1.51303,0.77279,0.90038,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
