epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,636.68,0.94672,2.07146,1.59165,1.06523,0,0.55647,0.38029,0.37081,0.27147,0.55072,0.37303,0.35927,0.23496,0.89514,1.95931,1.20204,0.99855,0,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273,0.0099982,0.00333273
2,1087.62,0.97641,2.03037,1.39405,1.05645,0,0.54233,0.39851,0.39702,0.28787,0.5394,0.39225,0.3862,0.25719,0.90876,1.94077,1.16631,1.02549,0,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408,0.0196022,0.00653408
3,1489.2,1.03966,2.13183,1.46526,1.08729,0,0.55357,0.3744,0.3696,0.26813,0.54035,0.36384,0.35541,0.23781,0.92778,2.00892,1.20372,1.04092,0,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342,0.0288103,0.00960342
4,1876.81,1.03571,2.1122,1.43966,1.08622,0,0.53829,0.41653,0.41731,0.30438,0.52686,0.41036,0.40126,0.26851,0.87646,1.8958,1.10593,1.00681,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2263.48,0.97102,1.99885,1.33437,1.05662,0,0.61269,0.43655,0.46135,0.34271,0.60692,0.42168,0.43548,0.29963,0.8225,1.79341,1.02112,0.98398,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2651.59,0.93271,1.92676,1.27756,1.03897,0,0.5643,0.46104,0.47866,0.35779,0.57216,0.43881,0.46222,0.30948,0.79343,1.75061,0.98224,0.97036,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3039.08,0.9041,1.88053,1.23458,1.02674,0,0.52956,0.51356,0.49447,0.37779,0.52167,0.49903,0.48139,0.32857,0.76827,1.71505,0.95251,0.95873,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3425.95,0.88527,1.84232,1.20287,1.01799,0,0.67476,0.47071,0.51976,0.39731,0.65822,0.46459,0.50386,0.34727,0.74841,1.67395,0.91754,0.9459,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3813.78,0.86945,1.81303,1.17831,1.01109,0,0.61789,0.49952,0.52898,0.40407,0.62105,0.48171,0.51063,0.35331,0.73453,1.64221,0.89342,0.93944,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4199.79,0.85755,1.78541,1.15208,1.00518,0,0.61037,0.50373,0.53808,0.41399,0.60359,0.48752,0.52236,0.36104,0.72388,1.61224,0.87142,0.92985,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4586.12,0.8459,1.76333,1.1348,1.00009,0,0.61405,0.53335,0.55525,0.42823,0.60457,0.52075,0.53623,0.37203,0.714,1.60025,0.85194,0.92679,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4972.74,0.8378,1.74994,1.12342,0.99612,0,0.65142,0.51515,0.55859,0.43337,0.64909,0.49882,0.53936,0.37526,0.70853,1.58428,0.82788,0.92432,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5359.99,0.82954,1.73629,1.11018,0.99263,0,0.62173,0.54253,0.56523,0.43836,0.61395,0.5255,0.5463,0.38292,0.70315,1.57121,0.83013,0.92139,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5745.72,0.82051,1.71816,1.09137,0.98914,0,0.62602,0.53481,0.56864,0.44224,0.62017,0.51652,0.54955,0.38331,0.69657,1.55796,0.81661,0.91989,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6131.6,0.81232,1.70527,1.08151,0.98581,0,0.60392,0.54442,0.56894,0.44309,0.63257,0.51218,0.54954,0.38558,0.69061,1.5557,0.80791,0.91639,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6519.16,0.80706,1.69521,1.07246,0.98311,0,0.62915,0.53652,0.57611,0.4522,0.62051,0.525,0.55894,0.39181,0.68506,1.54672,0.80417,0.91385,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6904.69,0.80377,1.68167,1.06078,0.97965,0,0.61872,0.54564,0.57981,0.45569,0.62967,0.51813,0.56171,0.39321,0.68219,1.54305,0.79905,0.91271,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7290.27,0.79877,1.67367,1.05216,0.97856,0,0.63266,0.54386,0.58301,0.46083,0.6312,0.52899,0.56704,0.39653,0.67907,1.5374,0.79143,0.91052,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7677.38,0.79089,1.65799,1.04004,0.97522,0,0.66077,0.53479,0.58674,0.46197,0.64963,0.52385,0.56826,0.40021,0.67455,1.52781,0.78678,0.90785,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8064.26,0.7859,1.63825,1.02861,0.9727,0,0.66069,0.54106,0.58561,0.46172,0.64357,0.53312,0.56846,0.39924,0.67303,1.52021,0.78329,0.90729,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
